454 1196       
88157 -82.5278372 40.067972      
72636 -82.5201639 40.0769812      
67436 -82.5284039 40.0684934      
67508 -82.5218276 40.0678993      
62485 -82.5206732 40.0799309      
73712 -82.518332 40.069045      
92631 -82.5201167 40.0685988      
15362 -82.5178898 40.0726173      
25969 -82.5281541 40.0696495      
68183 -82.5200122 40.0681028      
91444 -82.51912 40.0678991      
81120 -82.5216617 40.0753556      
54165 -82.5250966 40.069188      
30216 -82.524081 40.0709955      
85241 -82.5210907 40.0775579      
12603 -82.5160373 40.0717963      
40169 -82.5184106 40.0724991      
76797 -82.5225482 40.0734806      
58162 -82.5201688 40.0679563      
12572 -82.5184361 40.0678624      
50748 -82.5220225 40.0731032      
90598 -82.5249556 40.0733301      
63083 -82.5176394 40.0678184      
76798 -82.5225079 40.073491      
15397 -82.5193779 40.0682169      
74852 -82.5183313 40.0680318      
30053 -82.5186168 40.0686781      
50750 -82.5218589 40.0722295      
173 -82.52326 40.0705427      
70837 -82.515887 40.0771086      
73488 -82.5171766 40.0684523      
30231 -82.5254983 40.0715701      
64457 -82.5184143 40.0680375      
20124 -82.521792 40.0692832      
29663 -82.524135 40.0680368      
73726 -82.5235367 40.0681931      
73495 -82.5179397 40.0678347      
67520 -82.5200403 40.0679493      
45111 -82.525168 40.0723572      
17884 -82.5212709 40.0775147      
16769 -82.5174283 40.0679453      
10769 -82.5193821 40.0680649      
76794 -82.5230231 40.0737363      
69938 -82.5219034 40.0681008      
70036 -82.5180727 40.0865173      
40206 -82.5183614 40.0717159      
30214 -82.5233515 40.0709278      
175 -82.5232886 40.070924      
96670 -82.5252414 40.0673315      
15346 -82.5176366 40.0726179      
54168 -82.5247368 40.0683688      
52914 -82.5103564 40.0798428      
35994 -82.5214406 40.07746      
28149 -82.521527 40.0781164      
15348 -82.517203 40.0725146      
89581 -82.5236912 40.0705683      
71883 -82.5181112 40.0680378      
73704 -82.5132862 40.0688278      
55374 -82.5231298 40.0742561      
74033 -82.5133632 40.0716205      
76799 -82.5222391 40.0733287      
11686 -82.521722 40.0732031      
15381 -82.5213074 40.0716129      
176 -82.5233159 40.0705826      
12803 -82.5207228 40.0681256      
92592 -82.5244454 40.0712963      
65996 -82.5185015 40.0684698      
9825 -82.51878 40.0681072      
15388 -82.5202992 40.0713812      
44517 -82.5278114 40.071911      
67544 -82.522032 40.0689433      
67412 -82.5252166 40.0681555      
9954 -82.5198886 40.0712224      
62487 -82.5202949 40.0787232      
68223 -82.5191927 40.0687667      
9827 -82.5174337 40.0680189      
67543 -82.5224135 40.0689653      
59686 -82.5221399 40.0657301      
179 -82.5207851 40.0708527      
52345 -82.5191948 40.068128      
38310 -82.5201629 40.0691887      
11706 -82.5199743 40.0731728      
41827 -82.5259244 40.0708919      
26002 -82.5214106 40.0745878      
88882 -82.5166043 40.0735634      
15395 -82.5193866 40.0681231      
88559 -82.5227379 40.068058      
79378 -82.5210043 40.0818944      
21222 -82.5255685 40.0703793      
11501 -82.519261 40.0681335      
15385 -82.5205607 40.0712308      
9470 -82.5218169 40.0733039      
95263 -82.5226038 40.0743615      
30899 -82.5269852 40.0714076      
30228 -82.5256032 40.0715138      
78321 -82.520413 40.077093      
62517 -82.5119581 40.0782163      
66297 -82.522614 40.070549      
9830 -82.5189489 40.0681227      
64455 -82.5201591 40.068109      
74065 -82.5161704 40.0677381      
96665 -82.5219666 40.068205      
73711 -82.516653 40.0689585      
96669 -82.5251484 40.0681512      
67431 -82.5273969 40.0684524      
67424 -82.5306929 40.0685882      
15366 -82.5173147 40.0727447      
12809 -82.5218101 40.0680955      
40220 -82.5189324 40.0717867      
54755 -82.5207149 40.0728414      
67528 -82.523593 40.0669797      
69946 -82.5274031 40.0683866      
21214 -82.5241669 40.07031      
69937 -82.5207229 40.0679912      
21018 -82.519121 40.0683156      
21204 -82.522638 40.0704947      
74851 -82.5185207 40.0680418      
98651 -82.529152 40.0684556      
40185 -82.5187801 40.0723894      
47917 -82.5237113 40.0698899      
88561 -82.5219112 40.0680125      
30230 -82.5255405 40.0715606      
30213 -82.5230779 40.0709114      
62482 -82.5158887 40.0771047      
40183 -82.5177889 40.0725076      
204 -82.5183334 40.0710752      
56080 -82.51908 40.076957      
14069 -82.5187223 40.0680259      
67507 -82.5218155 40.0680073      
30218 -82.5244995 40.0710427      
47565 -82.518682 40.068348      
51729 -82.5117403 40.0686672      
56014 -82.520691 40.077492      
98653 -82.529122 40.068805      
88860 -82.516046 40.0716983      
27124 -82.519271 40.0707732      
62269 -82.5179197 40.0754107      
21424 -82.5281467 40.0702373      
62948 -82.5244152 40.07074      
88578 -82.5258253 40.0668211      
1711 -82.5273717 40.0700439      
45105 -82.5251358 40.0713537      
66303 -82.5229838 40.0715276      
32396 -82.5142577 40.0745337      
69185 -82.5374823 40.1155698      
36162 -82.5258093 40.0738687      
51737 -82.5200545 40.0691824      
30226 -82.5256163 40.0714472      
27125 -82.5191633 40.0707018      
69947 -82.528373 40.068426      
78319 -82.520548 40.077089      
174 -82.5236029 40.0707873      
89587 -82.5247024 40.0709231      
21410 -82.5284419 40.070539      
19137 -82.516674 40.086289      
11704 -82.520176 40.0733079      
91443 -82.5191371 40.0677447      
54175 -82.5235967 40.0683011      
92594 -82.5236837 40.07157      
88154 -82.5283737 40.0680049      
62952 -82.5200563 40.0677985      
62486 -82.5207573 40.0792163      
178 -82.5233124 40.070626      
9828 -82.5186007 40.0680997      
19139 -82.51131 40.085926      
1704 -82.5271667 40.0703851      
5766 -82.5251505 40.0680938      
96666 -82.5217979 40.0681946      
30227 -82.5256169 40.0714813      
70025 -82.5186148 40.0772497      
67419 -82.5251976 40.068344      
5773 -82.5168438 40.0679235      
47559 -82.5186176 40.068463      
53554 -82.5303785 40.0725944      
69593 -82.5183342 40.071818      
89584 -82.5245581 40.0707801      
12807 -82.5201013 40.0687432      
54167 -82.5246737 40.0691599      
88567 -82.5243631 40.0681474      
56020 -82.520185 40.077524      
52913 -82.5099431 40.0798253      
17532 -82.5264378 40.0725185      
44135 -82.5246261 40.0701311      
30237 -82.5254057 40.0713776      
63574 -82.518365 40.2543327      
41108 -82.521415 40.0742846      
92589 -82.5248746 40.0710705      
11502 -82.5190756 40.0681261      
11710 -82.5198664 40.0732838      
170 -82.524088 40.0709386      
36013 -82.5181402 40.0744109      
65971 -82.5181337 40.0681329      
30220 -82.5254953 40.0713611      
41109 -82.5212562 40.0742845      
68174 -82.5185215 40.0683375      
40240 -82.5190653 40.0720357      
67537 -82.5234568 40.0682928      
205 -82.5181074 40.0716348      
56017 -82.520421 40.077535      
11696 -82.5195077 40.0719526      
17537 -82.5271591 40.0721849      
74070 -82.5161619 40.0682023      
30233 -82.525352 40.0715025      
40282 -82.5183988 40.071729      
76778 -82.5248674 40.0731339      
15355 -82.5177616 40.0725719      
50749 -82.5231757 40.0722917      
44542 -82.5267639 40.0718463      
14071 -82.5179934 40.0680598      
74846 -82.5233845 40.0682885      
56025 -82.518954 40.077307      
30918 -82.528203 40.0713108      
19664 -82.520569 40.086523      
15361 -82.5170824 40.0723252      
16877 -82.5265121 40.0744461      
67533 -82.5234854 40.0679924      
67538 -82.5223821 40.069313      
65990 -82.5185296 40.0685527      
53604 -82.528066 40.075154      
88568 -82.5251227 40.0682827      
67432 -82.5291443 40.0685323      
70033 -82.5117696 40.079986      
30222 -82.5254546 40.071569      
77539 -82.5196037 40.0681192      
40124 -82.5190099 40.0681522      
62330 -82.5252432 40.067008      
74059 -82.5169656 40.0694209      
58162 67521 10.544161045847199  West Broadway   
96665 67504 11.165016295660045      
67533 75788 43.59226991743559      
19137 19139 458.1125097233901      
56014 56017 23.502258254823147      
11696 15379 174.14494256057546      
17537 615 80.94334363727893      
30238 30237 3.957238106742247  Herrick Hall   
187 188 6.011777880786801      
74070 74069 5.681603069635969  Granville Inn   
